,REGIONC,UR,KWH
875,3,2,8
876,4,1,7
877,3,1,14
878,1,2,6
879,3,1,10
880,1,1,12
881,1,1,4
882,3,1,13
883,2,2,11
884,3,2,11
885,3,2,14
886,2,1,17
887,4,1,9
888,3,1,8
889,1,1,4
890,3,2,19
891,2,2,20
892,4,1,1
893,3,1,20
894,3,1,5
895,3,1,17
896,3,2,24
897,4,1,11
898,3,1,22
899,3,2,23
900,4,1,7
901,3,1,10
902,2,1,5
903,2,1,9
904,1,1,4
905,3,1,7
906,3,1,11
907,3,1,13
908,2,1,8
909,3,1,15
910,3,2,16
911,3,1,11
912,3,1,5
913,3,2,48
914,1,1,9
915,2,2,41
916,3,2,5
917,3,1,24
918,4,1,4
919,4,1,2
920,2,1,15
921,4,1,1
922,4,1,1
923,4,1,4
924,4,1,4
925,3,1,4
926,4,1,14
927,2,1,5
928,3,1,13
929,1,1,5
930,1,1,9
931,3,1,17
932,3,1,24
933,4,1,16
934,4,1,14
935,4,2,11
936,4,1,2
937,1,1,6
938,1,1,9
939,3,1,20
940,2,1,2
941,2,1,14
942,3,1,13
943,3,1,55
944,2,1,7
945,3,1,18
946,2,1,4
947,1,2,24
948,4,1,3
949,3,1,15
950,4,1,4
951,2,1,5
952,4,1,4
953,3,1,13
954,2,1,15
955,4,1,5
956,3,1,10
957,3,1,20
958,4,1,14
959,1,1,5
960,4,1,11
961,1,1,0
962,2,1,10
963,3,2,30
964,2,1,22
965,4,1,13
966,4,1,10
967,2,1,15
968,1,1,8
969,2,2,6
970,3,1,14
971,4,1,7
972,4,1,8
973,1,2,37
974,2,2,9
975,3,1,16
976,3,1,12
977,1,1,8
978,4,1,5
979,3,1,10
980,1,1,14
981,3,2,13
982,4,1,2
983,4,1,5
984,2,1,13
985,4,1,5
986,3,2,21
987,2,2,10
988,4,1,5
989,4,1,4
990,4,1,6
991,3,1,12
992,4,1,4
993,3,2,18
994,3,1,10
995,3,1,11
996,3,1,44
997,4,1,8
998,4,1,12
999,4,1,4
1000,3,2,4
1001,3,1,21
1002,3,2,7
1003,3,1,7
1004,2,1,9
1005,4,1,2
1006,3,1,21
1007,1,2,7
1008,4,1,10
1009,2,1,6
1010,3,1,10
1011,2,1,4
1012,3,1,21
1013,3,1,10
1014,3,1,5
1015,1,1,12
1016,2,1,14
1017,2,1,5
1018,2,2,15
1019,4,1,23
1020,2,1,9
1021,2,1,5
1022,3,2,26
1023,3,1,11
1024,3,2,4
1025,1,1,2
1026,3,1,20
1027,1,1,13
1028,1,1,5
1029,2,2,11
1030,2,1,4
1031,3,2,26
1032,1,2,13
1033,4,1,5
1034,2,1,3
1035,3,2,1
1036,2,1,3
1037,2,1,5
1038,2,1,24
1039,2,1,17
1040,1,1,4
1041,2,1,1
1042,4,1,3
1043,4,1,5
1044,4,1,5
1045,4,1,2
1046,4,1,6
1047,3,1,11
1048,3,1,10
1049,1,1,6
1050,2,1,7
1051,4,1,20
1052,3,1,39
1053,4,1,8
1054,3,1,5
1055,2,2,25
1056,2,1,11
1057,1,1,5
1058,1,1,5
1059,1,1,3
1060,1,1,3
1061,2,1,6
1062,1,1,4
1063,2,1,2
1064,3,1,12
1065,3,1,11
1066,3,2,7
1067,4,1,5
1068,1,1,4
1069,4,1,2
1070,1,1,9
1071,4,1,3
1072,3,1,12
1073,2,2,10
1074,3,1,21
1075,1,1,5
1076,2,2,23
1077,3,2,33
1078,1,1,16
1079,3,2,25
1080,2,1,19
1081,3,1,14
1082,2,1,8
1083,3,1,11
1084,3,1,11
1085,2,2,13
1086,2,1,10
1087,2,2,8
1088,3,1,16
1089,3,1,7
1090,2,1,6
1091,2,1,4
1092,2,1,9
1093,2,2,6
1094,2,2,35
1095,1,1,5
1096,4,1,11
1097,1,1,13
1098,3,2,33
1099,3,1,7
1100,2,1,9
1101,3,1,0
1102,1,1,5
1103,4,1,4
1104,3,1,12
1105,1,1,4
1106,2,1,23
1107,3,2,19
1108,3,1,27
1109,1,1,4
1110,2,2,16
1111,3,1,29
1112,2,1,6
1113,1,1,17
1114,3,1,5
1115,4,2,5
1116,3,1,12
1117,3,1,27
1118,2,1,20
1119,2,2,17
1120,2,1,2
1121,4,1,6
1122,3,1,19
1123,2,1,5
1124,2,1,31
1125,4,1,19
1126,1,1,7
1127,3,2,10
1128,3,1,6
1129,3,2,8
1130,3,1,3
1131,1,1,8
1132,2,1,8
1133,2,2,5
1134,4,1,4
1135,3,2,23
1136,4,2,16
1137,4,1,17
1138,2,1,8
1139,1,2,6
1140,3,2,19
1141,2,1,1
1142,3,1,5
1143,3,1,8
1144,1,1,24
1145,1,1,5
1146,4,2,3
1147,3,2,24
1148,2,2,10
1149,1,1,2
1150,4,1,18
1151,4,1,10
1152,1,1,15
1153,3,1,18
1154,3,1,6
1155,4,1,11
1156,3,2,24
1157,2,2,9
1158,3,2,31
1159,3,1,25
1160,4,2,14
1161,1,1,8
1162,2,1,15
1163,4,1,3
1164,2,1,16
1165,2,2,18
1166,4,1,7
1167,2,1,9
1168,1,1,0
1169,3,1,6
1170,1,2,4
1171,2,2,5
1172,3,1,16
1173,3,1,33
1174,2,2,29
1175,3,1,6
1176,3,1,13
1177,3,1,16
1178,2,1,21
1179,1,1,12
1180,3,1,9
1181,2,2,10
1182,3,1,7
1183,4,1,10
1184,1,2,11
1185,3,1,31
1186,2,1,3
1187,2,2,10
1188,4,1,12
1189,2,1,7
1190,1,1,5
1191,4,1,9
1192,2,1,26
1193,1,1,3
1194,3,1,7
1195,1,1,2
1196,3,2,3
1197,2,1,15
1198,3,1,5
1199,1,1,4
1200,3,1,5
1201,3,2,22
1202,3,2,16
1203,1,2,8
1204,2,2,13
1205,2,1,11
1206,2,2,37
1207,3,2,13
1208,1,1,9
1209,4,1,1
1210,4,1,7
1211,2,2,17
1212,3,1,20
1213,4,1,4
1214,3,1,10
1215,4,1,4
1216,2,1,7
1217,1,1,2
1218,3,1,20
1219,3,1,12
1220,4,1,6
1221,3,1,8
1222,1,1,6
1223,1,1,4
1224,4,1,2
1225,2,1,6
1226,2,1,30
1227,1,1,5
1228,1,1,10
1229,4,1,4
1230,1,1,11
1231,2,2,5
1232,3,1,5
