,REGIONC,UR,KWH
3214,4,1,9
3215,3,2,15
3216,1,1,7
3217,2,2,15
3218,1,1,2
3219,4,1,2
3220,1,1,4
3221,3,1,11
3222,3,1,16
3223,3,2,10
3224,3,1,12
3225,2,1,17
3226,2,2,50
3227,2,1,5
3228,2,1,2
3229,3,2,23
3230,4,2,4
3231,4,1,14
3232,2,2,7
3233,2,1,6
3234,4,1,7
3235,1,1,5
3236,3,2,30
3237,2,1,5
3238,4,1,2
3239,2,2,20
3240,3,1,10
3241,4,1,2
3242,3,1,14
3243,3,2,10
3244,3,1,20
3245,1,2,10
3246,4,1,12
3247,1,2,16
3248,2,2,12
3249,2,2,21
3250,1,1,6
3251,4,1,5
3252,2,2,18
3253,1,1,3
3254,1,1,4
3255,4,2,6
3256,2,1,6
3257,4,1,4
3258,2,2,8
3259,4,1,7
3260,3,2,22
3261,2,2,11
3262,4,1,9
3263,4,1,5
3264,1,2,10
3265,2,1,8
3266,2,1,5
3267,3,1,8
3268,4,1,32
3269,3,1,15
3270,4,1,7
3271,3,2,7
3272,2,1,8
3273,3,2,18
3274,3,1,6
3275,3,1,13
3276,1,1,7
3277,1,1,2
3278,3,1,11
3279,1,1,10
3280,3,2,27
3281,3,2,9
3282,2,1,12
3283,3,1,25
3284,3,1,14
3285,1,2,8
3286,4,1,10
3287,3,1,7
3288,2,1,7
3289,2,1,14
3290,3,1,2
3291,4,1,10
3292,4,1,14
3293,2,1,13
3294,2,1,10
3295,2,1,10
3296,2,1,3
3297,1,1,4
3298,2,1,2
3299,3,1,13
3300,3,1,18
3301,3,2,19
3302,3,1,10
3303,2,2,10
3304,3,1,25
3305,3,1,14
3306,3,2,21
3307,2,1,6
3308,2,1,8
3309,1,2,11
3310,1,1,7
3311,4,1,2
3312,3,1,13
3313,3,2,8
3314,1,1,2
3315,4,1,5
3316,4,1,4
3317,2,1,6
3318,3,1,12
3319,2,1,19
3320,1,1,10
3321,2,1,6
3322,2,2,18
3323,1,1,8
3324,4,1,2
3325,1,1,9
3326,4,1,19
3327,2,1,5
3328,2,1,8
3329,2,1,15
3330,2,1,9
3331,1,1,7
3332,3,1,13
3333,1,1,13
3334,2,2,16
3335,3,1,31
3336,1,1,6
3337,4,1,5
3338,4,1,6
3339,3,1,10
3340,4,1,8
3341,1,1,5
3342,3,1,5
3343,1,1,7
3344,4,1,4
3345,3,2,7
3346,3,1,18
3347,3,1,9
3348,3,1,29
3349,3,1,8
3350,3,1,5
3351,4,1,8
3352,2,1,8
3353,1,1,19
3354,2,1,11
3355,2,1,3
3356,2,1,7
3357,2,1,3
3358,1,1,10
3359,2,1,2
3360,2,2,12
3361,3,2,27
3362,4,1,6
3363,1,1,5
3364,3,1,23
3365,4,1,6
3366,4,1,2
3367,4,1,12
3368,3,1,14
3369,3,1,6
3370,2,1,9
3371,2,2,8
3372,3,1,9
3373,3,1,8
3374,3,1,4
3375,2,1,4
3376,2,1,20
3377,4,2,10
3378,4,1,15
3379,4,1,2
3380,2,1,4
3381,3,1,12
3382,3,1,6
3383,2,1,4
3384,2,1,7
3385,3,1,15
3386,4,2,4
3387,1,1,8
3388,2,2,51
3389,1,1,7
3390,3,1,18
3391,1,1,3
3392,3,2,11
3393,4,1,4
3394,3,1,22
3395,2,1,5
3396,2,1,3
3397,4,1,4
3398,3,1,4
3399,3,1,13
3400,1,1,8
3401,2,1,10
3402,4,1,2
3403,1,1,1
3404,2,1,15
3405,1,1,7
3406,3,1,15
3407,3,1,25
3408,2,2,12
3409,1,1,5
3410,1,1,11
3411,1,1,7
3412,4,1,8
3413,4,1,6
3414,3,1,11
3415,1,1,29
3416,1,1,2
3417,1,1,5
3418,1,1,6
3419,3,1,13
3420,1,1,8
3421,1,1,4
3422,3,2,11
3423,1,1,7
3424,2,1,10
3425,4,1,2
3426,3,2,13
3427,3,1,12
3428,3,1,4
3429,3,1,12
3430,4,1,6
3431,3,1,11
3432,3,2,10
3433,4,2,8
3434,3,1,15
3435,4,1,7
3436,1,2,11
3437,2,2,6
3438,4,1,22
3439,1,1,10
3440,4,1,7
3441,4,1,16
3442,4,1,4
3443,3,1,4
3444,3,2,12
3445,1,1,6
3446,2,1,8
3447,1,1,16
3448,1,1,2
3449,1,2,10
3450,1,1,8
3451,4,1,21
3452,2,1,5
3453,3,2,20
3454,3,1,12
3455,3,1,4
3456,3,1,13
3457,3,1,6
3458,2,1,12
3459,4,1,6
3460,1,1,32
3461,3,2,18
3462,4,2,6
3463,2,2,7
3464,1,1,6
3465,2,1,13
3466,1,2,8
3467,2,2,29
3468,3,1,20
3469,2,2,11
3470,2,1,18
3471,1,1,10
3472,2,1,4
3473,1,1,16
3474,3,2,41
3475,3,2,23
3476,2,1,9
3477,4,2,21
3478,2,1,14
3479,1,1,7
3480,3,2,20
3481,3,1,14
3482,4,1,7
3483,3,1,13
3484,4,1,8
3485,1,1,4
3486,2,1,5
3487,3,1,10
3488,3,1,8
3489,2,1,7
3490,1,1,14
3491,1,2,2
3492,4,1,10
3493,2,1,5
3494,4,1,5
3495,2,2,12
3496,2,1,27
3497,1,1,6
3498,3,1,13
3499,1,1,3
3500,1,1,3
3501,4,1,10
3502,3,2,4
3503,4,1,5
3504,3,2,7
3505,1,1,10
3506,1,1,19
3507,4,1,8
3508,2,1,5
3509,3,1,11
3510,2,1,3
3511,2,1,10
3512,1,1,3
3513,3,2,8
3514,1,1,9
3515,3,2,8
3516,3,1,39
3517,4,1,10
3518,3,1,7
3519,1,1,7
3520,3,1,15
3521,2,1,8
3522,2,1,23
3523,1,1,8
3524,1,2,6
3525,3,1,12
3526,3,1,6
3527,1,1,3
3528,4,1,12
3529,3,1,11
3530,2,1,6
3531,1,1,8
3532,2,2,40
3533,2,2,8
3534,3,1,11
3535,2,1,8
3536,3,1,9
3537,2,1,22
3538,4,1,2
3539,3,1,5
3540,2,1,16
3541,2,1,25
3542,2,1,12
3543,4,1,8
3544,3,1,2
3545,2,2,14
3546,2,2,14
3547,3,1,20
3548,3,1,19
3549,4,1,7
3550,3,1,25
3551,3,2,13
3552,1,1,4
3553,2,1,7
3554,4,2,11
3555,1,1,6
3556,2,1,11
3557,4,1,3
3558,4,1,4
3559,3,1,9
3560,4,1,5
3561,1,1,6
3562,4,1,5
3563,1,1,5
3564,1,1,4
3565,1,1,2
3566,2,1,2
3567,2,1,16
3568,2,2,43
3569,3,2,12
3570,3,2,15
3571,4,1,5
3572,3,2,32
3573,4,1,3
3574,4,1,11
3575,2,1,11
3576,4,1,12
3577,2,2,25
3578,3,1,11
3579,4,1,15
3580,1,1,3
3581,1,1,2
3582,3,1,21
3583,2,1,3
3584,1,1,2
3585,3,1,13
3586,4,1,5
3587,2,1,3
3588,1,1,1
3589,1,1,11
3590,4,1,6
3591,1,1,0
3592,4,1,15
3593,1,2,7
3594,4,1,8
3595,4,1,4
3596,4,1,22
3597,4,1,5
3598,4,1,1
3599,2,1,9
3600,4,1,4
3601,2,1,3
3602,1,1,9
3603,2,1,14
3604,3,2,13
3605,2,1,32
3606,3,1,9
3607,4,1,4
3608,3,2,17
3609,4,1,2
3610,4,1,4
3611,2,2,9
3612,2,1,5
3613,3,2,14
3614,3,1,15
3615,3,1,10
3616,3,1,26
3617,4,1,3
3618,4,1,2
3619,1,1,15
3620,3,1,15
3621,2,1,8
3622,2,1,6
3623,2,1,9
3624,2,1,7
3625,3,2,15
3626,1,1,12
3627,3,2,25
3628,2,2,8
3629,3,1,7
3630,1,1,3
3631,2,1,9
3632,3,2,12
3633,1,1,19
3634,3,2,4
3635,3,2,17
3636,4,1,6
3637,3,1,16
3638,4,1,6
3639,3,1,4
3640,4,1,4
3641,2,1,7
3642,4,1,4
3643,3,2,16
3644,2,1,12
3645,3,1,27
3646,2,1,24
3647,2,1,3
3648,3,1,26
3649,4,1,9
3650,4,1,13
3651,2,1,2
3652,3,1,7
3653,4,1,3
3654,2,1,8
3655,3,1,16
3656,3,1,19
3657,4,1,5
3658,3,2,23
3659,3,2,5
3660,3,1,8
3661,1,1,5
3662,2,2,14
3663,1,1,6
3664,4,1,3
3665,1,1,2
3666,1,1,12
3667,3,1,4
3668,4,1,18
3669,3,1,40
3670,2,2,14
3671,2,1,11
3672,3,1,4
3673,1,1,7
3674,3,1,4
3675,2,2,11
3676,3,2,24
3677,4,1,14
3678,2,1,5
3679,3,1,8
3680,2,1,18
3681,3,1,10
3682,1,1,5
3683,3,2,18
3684,1,1,7
3685,2,1,4
3686,4,1,9
3687,3,1,11
3688,3,1,2
3689,3,2,23
3690,4,1,6
3691,4,1,43
3692,3,1,15
3693,4,1,6
3694,3,1,18
3695,4,1,9
3696,1,1,6
3697,3,1,12
3698,4,1,23
3699,3,1,10
3700,4,1,5
3701,3,2,21
3702,4,1,5
3703,2,1,3
3704,3,1,25
3705,2,2,7
3706,3,1,2
3707,1,1,4
3708,3,1,32
3709,3,1,12
3710,1,1,3
3711,3,1,6
3712,1,1,6
3713,3,1,1
3714,3,1,11
3715,2,1,11
3716,4,1,9
3717,3,1,13
3718,2,2,23
3719,4,1,2
3720,3,1,10
3721,3,1,9
3722,4,1,2
3723,2,1,10
3724,2,1,4
3725,2,1,17
3726,3,1,10
3727,1,1,13
3728,4,1,1
3729,3,1,13
3730,3,1,23
3731,2,1,14
3732,4,1,14
3733,3,1,11
3734,2,1,2
3735,3,2,16
3736,3,1,10
3737,3,1,12
3738,4,1,18
3739,4,1,4
3740,3,1,8
3741,2,2,30
3742,1,1,7
3743,3,2,15
3744,1,1,9
3745,4,1,5
3746,3,1,12
3747,2,1,4
3748,3,1,9
3749,1,1,15
3750,3,1,15
3751,3,1,1
3752,3,1,13
3753,3,1,11
3754,4,1,7
3755,1,1,2
3756,2,1,7
3757,4,2,9
3758,2,2,4
3759,4,1,2
3760,4,1,4
3761,3,2,12
3762,1,1,7
3763,3,1,14
3764,1,1,8
3765,3,1,12
3766,4,1,8
3767,1,1,19
3768,4,1,4
3769,3,2,12
3770,2,2,15
3771,2,2,14
3772,3,1,16
3773,4,1,6
3774,1,2,15
3775,3,1,8
3776,1,1,3
3777,4,1,11
3778,4,1,4
3779,2,2,30
3780,4,1,4
3781,3,1,8
3782,4,1,6
3783,4,1,2
3784,1,1,5
3785,4,2,5
3786,1,1,10
3787,2,2,5
3788,2,1,5
3789,4,1,2
3790,3,2,5
3791,3,2,13
3792,3,1,19
3793,4,1,4
3794,3,2,18
3795,4,1,3
3796,2,1,7
3797,4,1,6
3798,4,2,14
3799,4,1,3
3800,2,1,9
3801,3,1,13
3802,3,2,5
3803,1,1,4
3804,4,1,6
3805,3,1,20
3806,2,1,13
3807,2,1,11
3808,4,1,10
3809,2,1,13
3810,4,1,19
3811,1,1,3
3812,3,1,10
3813,2,1,3
3814,2,1,20
3815,3,1,19
3816,3,2,5
3817,1,1,4
3818,3,1,10
3819,3,1,5
3820,4,1,3
3821,1,1,5
3822,1,1,10
3823,1,1,4
3824,2,2,8
3825,4,2,19
3826,4,2,2
3827,3,2,9
3828,4,1,2
3829,1,1,8
3830,3,1,10
3831,3,2,0
3832,2,1,17
3833,2,1,5
3834,4,1,7
3835,3,1,19
3836,4,1,3
3837,4,1,4
3838,3,2,28
3839,3,2,16
3840,2,2,6
3841,3,2,13
3842,3,2,17
3843,2,1,3
3844,3,2,26
3845,4,1,1
3846,4,1,10
3847,2,1,1
3848,2,2,12
3849,4,1,9
3850,2,2,10
3851,2,2,10
3852,4,1,12
3853,2,2,12
3854,2,1,17
3855,3,1,10
3856,1,1,4
3857,4,2,1
3858,3,1,9
3859,1,2,5
3860,3,1,20
3861,1,1,9
3862,4,1,12
3863,1,1,1
3864,3,2,14
3865,2,1,22
3866,3,2,8
3867,2,1,3
3868,4,1,9
3869,3,1,13
3870,4,1,7
3871,4,2,10
3872,4,1,7
3873,4,1,5
3874,3,1,22
3875,3,1,18
3876,3,1,4
3877,4,1,11
3878,3,1,9
3879,3,1,11
3880,3,1,19
3881,3,1,29
3882,4,1,1
3883,2,1,2
3884,2,2,5
3885,3,1,21
3886,4,1,9
3887,4,1,4
3888,4,1,8
3889,2,1,18
3890,3,1,12
3891,4,1,4
3892,4,1,19
3893,3,1,18
3894,3,1,10
3895,2,1,5
3896,3,1,2
3897,3,1,19
3898,1,1,12
3899,3,2,38
3900,3,2,21
3901,2,2,16
3902,3,1,16
3903,4,1,2
3904,3,1,6
3905,3,1,20
3906,2,2,15
3907,1,1,15
3908,4,1,6
3909,3,1,21
3910,3,1,10
3911,3,2,20
3912,1,1,3
3913,3,1,17
3914,3,1,11
3915,2,1,8
3916,2,1,9
3917,3,1,18
3918,3,1,18
3919,2,1,20
3920,3,2,18
3921,4,1,1
3922,4,1,2
3923,4,1,13
3924,2,1,7
3925,2,2,7
3926,1,2,18
3927,3,1,30
3928,3,1,12
3929,2,1,18
3930,3,1,3
3931,3,1,20
3932,2,1,10
3933,4,1,14
3934,2,1,6
3935,4,1,4
3936,1,1,15
3937,1,1,5
3938,3,1,14
3939,2,1,12
3940,4,1,14
3941,2,2,13
3942,3,1,32
3943,2,1,12
3944,1,1,11
3945,3,1,4
3946,3,1,10
3947,4,1,5
3948,3,2,16
3949,3,1,13
3950,3,1,21
3951,4,1,4
3952,2,1,11
3953,3,1,13
3954,1,1,6
3955,3,1,12
3956,4,1,3
3957,2,1,4
3958,3,2,2
3959,3,1,6
3960,4,1,6
3961,3,1,10
3962,4,1,4
3963,4,2,10
3964,2,2,4
3965,3,1,19
3966,2,2,5
3967,4,1,5
3968,1,1,4
3969,1,1,5
3970,1,2,17
3971,3,1,15
3972,4,1,7
3973,3,2,8
3974,2,1,17
3975,3,1,30
3976,2,1,11
3977,4,1,4
3978,3,1,11
3979,1,1,6
3980,4,1,11
3981,3,1,8
3982,3,1,8
3983,3,1,20
3984,1,1,1
3985,3,2,22
3986,2,1,11
3987,3,1,4
3988,2,1,6
3989,4,1,30
3990,3,1,2
3991,3,1,18
3992,3,1,17
3993,4,1,3
3994,4,1,6
3995,4,1,3
3996,3,1,8
3997,1,1,8
3998,2,1,16
3999,4,1,4
4000,4,2,8
4001,3,1,10
4002,3,1,24
4003,4,1,5
4004,3,1,12
4005,4,1,11
4006,4,1,4
4007,3,1,3
4008,3,2,12
4009,3,1,0
4010,1,1,4
4011,3,1,14
4012,1,1,9
4013,3,1,17
4014,4,1,4
4015,3,1,8
4016,3,1,7
4017,4,1,6
4018,4,1,4
4019,3,2,24
4020,1,1,16
4021,2,1,6
4022,1,1,15
4023,1,2,10
4024,2,1,43
4025,4,1,5
4026,1,1,7
4027,3,2,14
4028,3,1,8
4029,3,2,9
4030,4,1,7
4031,4,1,16
4032,4,1,4
4033,2,1,3
4034,2,1,7
4035,1,1,6
4036,3,2,10
4037,2,1,7
4038,4,1,9
4039,4,1,7
4040,2,1,12
4041,2,1,8
4042,3,1,12
4043,1,1,1
4044,4,1,10
4045,2,1,6
4046,4,1,9
4047,3,2,18
4048,3,1,12
4049,4,1,22
4050,3,1,13
4051,3,1,16
4052,2,1,8
4053,3,1,11
4054,3,1,9
4055,1,2,6
4056,1,1,13
4057,4,1,1
4058,1,1,2
4059,1,1,5
4060,4,1,7
4061,1,1,2
4062,3,1,29
4063,1,1,9
4064,2,1,14
4065,4,1,20
4066,4,1,13
4067,3,1,18
4068,2,2,20
4069,1,2,15
4070,4,2,10
4071,3,1,6
4072,4,1,3
4073,1,2,10
4074,3,1,18
4075,2,1,10
4076,1,1,2
4077,3,2,18
4078,2,1,11
4079,3,2,27
4080,4,1,3
4081,1,1,6
4082,4,1,4
4083,3,1,10
4084,4,1,3
4085,4,1,3
4086,3,1,5
4087,1,1,2
4088,2,1,6
4089,2,2,33
4090,4,1,9
4091,2,1,8
4092,1,2,13
4093,3,1,19
4094,3,2,16
4095,3,1,15
4096,3,1,16
4097,2,1,6
4098,3,2,16
4099,4,1,6
4100,2,1,4
4101,3,1,10
4102,1,1,13
4103,3,1,20
4104,1,1,5
4105,3,2,2
4106,3,1,8
4107,2,1,19
4108,1,1,2
4109,4,1,6
4110,4,1,2
4111,4,1,1
4112,3,1,11
4113,4,1,2
4114,2,1,11
4115,3,1,11
4116,2,1,6
4117,2,1,5
4118,3,1,14
4119,2,1,19
4120,1,2,9
4121,1,2,20
4122,4,1,3
4123,3,1,13
4124,3,1,23
4125,3,2,14
4126,4,1,6
4127,1,1,11
4128,3,1,23
4129,3,1,30
4130,3,2,7
4131,4,2,21
4132,2,1,15
4133,1,1,9
4134,2,2,5
4135,3,1,20
4136,3,2,15
4137,4,2,6
4138,2,1,8
4139,4,1,14
4140,4,1,7
4141,4,2,22
4142,4,1,4
4143,3,1,11
4144,4,1,1
4145,2,1,10
4146,2,1,7
4147,4,1,8
4148,3,1,13
4149,3,1,21
4150,1,1,5
4151,1,2,5
4152,4,1,4
4153,4,1,10
4154,2,1,14
4155,1,2,8
4156,3,2,16
4157,3,1,11
4158,3,1,21
4159,4,1,2
4160,1,1,15
4161,4,1,4
4162,3,1,7
4163,4,1,5
4164,2,1,20
4165,2,1,8
4166,2,1,11
4167,4,1,2
4168,1,1,1
4169,3,2,10
4170,2,1,9
4171,3,2,18
4172,3,2,19
4173,4,1,22
4174,1,1,8
4175,3,1,6
4176,3,1,10
4177,4,1,11
4178,3,2,9
4179,2,1,7
4180,4,1,9
4181,2,1,6
4182,2,1,20
4183,4,1,17
4184,3,2,8
4185,3,1,9
4186,4,2,26
4187,4,2,13
4188,3,1,28
4189,1,2,4
4190,1,1,1
4191,2,1,9
4192,2,1,6
4193,3,1,17
4194,4,1,9
4195,2,2,19
4196,3,1,16
4197,3,1,8
4198,3,1,15
4199,3,1,29
4200,1,1,4
4201,2,1,13
4202,2,1,9
4203,4,1,7
4204,2,1,6
4205,3,2,10
4206,1,1,5
4207,3,1,14
4208,2,1,26
4209,1,1,6
4210,1,1,4
4211,2,1,68
4212,4,1,18
4213,4,2,54
4214,1,1,1
4215,3,1,10
4216,4,1,5
4217,3,1,19
4218,3,2,22
4219,4,1,5
4220,4,2,11
4221,4,1,6
4222,3,1,38
4223,4,1,4
4224,4,1,5
4225,3,2,8
4226,4,1,14
4227,3,2,19
4228,1,1,4
4229,1,2,7
4230,3,1,18
4231,2,2,8
4232,3,1,11
4233,3,2,7
4234,1,1,3
4235,3,2,17
4236,3,1,12
4237,4,1,7
4238,1,1,10
4239,4,1,5
4240,1,1,4
4241,2,1,7
4242,3,1,7
4243,1,2,5
4244,3,2,21
4245,1,1,28
4246,1,1,2
4247,3,1,24
4248,3,1,4
4249,4,1,4
4250,1,1,14
4251,3,1,12
4252,4,1,3
4253,2,1,7
4254,3,2,27
4255,4,1,7
4256,2,1,7
4257,1,1,18
4258,3,2,22
4259,2,1,4
4260,2,1,30
4261,2,2,7
4262,3,1,6
4263,3,1,7
4264,1,1,6
4265,3,2,17
4266,4,1,4
4267,3,1,15
4268,3,2,14
4269,3,1,4
4270,4,1,3
4271,3,2,9
4272,3,1,8
4273,1,2,9
4274,3,1,3
4275,2,1,10
4276,3,2,19
4277,4,1,12
4278,2,1,4
4279,1,1,13
4280,1,1,1
4281,2,1,43
4282,1,1,6
4283,3,1,5
4284,3,1,16
4285,4,1,5
4286,3,1,20
4287,3,1,33
4288,3,1,11
4289,4,2,27
4290,1,1,8
4291,2,1,4
4292,2,1,13
4293,3,1,12
4294,3,1,4
4295,2,1,20
4296,1,1,9
4297,2,1,6
4298,3,1,12
4299,2,1,8
4300,4,1,7
4301,1,1,10
4302,2,2,4
4303,1,1,6
4304,2,1,7
4305,1,2,13
4306,2,2,37
4307,1,1,4
4308,3,1,11
4309,3,1,8
4310,2,2,23
4311,3,1,4
4312,4,1,36
4313,2,2,6
4314,4,2,16
4315,3,1,10
4316,4,1,13
4317,4,1,7
4318,4,1,4
4319,4,2,20
4320,3,1,13
4321,3,2,20
4322,1,1,10
4323,4,2,6
4324,3,2,7
4325,3,1,13
4326,3,2,20
4327,1,1,5
4328,2,1,21
4329,3,1,20
4330,4,1,5
4331,3,1,16
4332,2,1,6
4333,3,2,25
4334,3,2,31
4335,3,1,9
4336,1,1,1
4337,3,1,18
4338,4,1,7
4339,4,1,3
4340,2,1,6
4341,1,1,6
4342,4,1,9
4343,1,2,9
4344,3,1,12
4345,4,1,5
4346,4,1,13
4347,1,1,24
4348,3,1,4
4349,4,1,13
4350,1,1,5
4351,3,1,17
4352,4,1,10
4353,2,1,26
4354,2,1,15
4355,3,1,15
4356,3,1,5
4357,3,2,25
4358,4,1,5
4359,3,1,15
4360,3,1,6
4361,1,1,22
4362,3,1,7
4363,1,1,2
4364,2,1,8
4365,4,1,2
4366,1,1,11
4367,4,1,11
4368,4,2,17
4369,3,1,15
4370,4,1,8
4371,3,1,16
4372,1,1,2
4373,4,1,6
4374,3,2,15
4375,1,2,11
4376,3,1,11
4377,2,1,3
4378,1,1,10
4379,2,2,14
4380,3,2,19
4381,2,2,9
4382,4,1,18
4383,4,1,3
4384,2,1,14
4385,1,1,5
4386,2,1,10
4387,2,1,5
4388,2,1,10
4389,3,1,13
4390,3,1,23
4391,1,1,11
4392,2,1,4
4393,1,1,3
4394,3,2,17
4395,3,2,4
4396,3,1,23
4397,2,1,21
4398,3,1,6
4399,4,1,3
4400,2,1,4
4401,2,2,25
4402,3,1,20
4403,2,1,18
4404,3,1,4
4405,4,1,8
4406,4,1,6
4407,3,1,5
4408,1,2,4
4409,1,1,10
4410,3,1,13
4411,3,1,13
4412,1,1,6
4413,2,1,5
4414,1,1,1
4415,3,1,8
4416,3,1,8
4417,3,1,69
4418,4,1,3
4419,4,1,2
4420,4,1,7
4421,4,1,4
4422,3,1,6
4423,2,1,11
4424,2,1,11
4425,2,2,14
4426,2,1,8
4427,2,1,8
4428,3,1,9
4429,2,1,7
4430,2,1,16
4431,1,1,6
4432,4,1,17
4433,4,1,4
4434,4,1,7
4435,3,1,25
4436,2,1,3
4437,2,2,16
4438,3,1,10
4439,1,1,7
4440,2,1,10
4441,4,2,29
4442,2,1,7
4443,3,2,1
4444,1,1,15
4445,3,1,12
4446,3,1,9
4447,3,2,16
4448,3,2,14
4449,2,1,5
4450,2,1,4
4451,2,1,17
4452,4,2,6
4453,4,1,8
4454,1,1,3
4455,3,1,20
4456,3,1,17
4457,2,1,10
4458,3,2,20
4459,4,1,7
4460,3,2,11
4461,4,2,15
4462,2,2,9
4463,4,1,6
4464,4,1,4
4465,2,1,9
4466,2,1,4
4467,3,2,23
4468,3,1,7
4469,2,1,9
4470,2,2,7
4471,3,1,15
4472,2,1,4
4473,1,1,5
4474,1,1,8
4475,3,1,27
4476,4,2,21
4477,3,1,18
4478,3,2,13
4479,3,1,3
4480,3,1,17
4481,4,1,3
4482,4,1,5
4483,3,2,24
4484,3,1,6
4485,2,2,12
4486,3,2,9
4487,3,1,16
4488,4,1,3
4489,1,1,8
4490,4,2,13
4491,1,1,6
4492,4,1,24
4493,2,1,7
4494,2,1,7
4495,4,1,11
4496,1,1,9
4497,3,1,10
4498,4,1,2
4499,1,1,2
4500,1,1,6
4501,3,1,13
4502,4,1,6
4503,2,2,8
4504,1,2,15
4505,1,1,10
4506,4,1,14
4507,3,1,21
4508,2,1,5
4509,3,1,9
4510,4,1,7
4511,3,1,21
4512,1,1,12
4513,4,2,18
4514,1,1,7
4515,1,1,9
4516,1,1,23
4517,3,1,25
4518,3,1,30
4519,4,1,8
4520,4,1,10
4521,2,1,16
4522,3,1,17
4523,3,1,8
4524,4,1,2
4525,3,1,20
4526,4,1,31
4527,4,1,11
4528,1,1,2
4529,4,1,24
4530,3,1,16
4531,2,1,17
4532,3,1,10
4533,3,1,10
4534,3,1,13
4535,2,1,4
4536,3,1,4
4537,3,1,7
4538,4,2,11
4539,4,1,11
4540,4,1,3
4541,2,1,9
4542,1,2,8
4543,1,1,6
4544,3,2,24
4545,4,2,38
4546,2,1,11
4547,3,2,25
4548,3,1,19
4549,1,1,3
4550,1,1,7
4551,4,1,2
4552,3,2,14
4553,2,1,4
4554,4,1,6
4555,3,2,30
4556,2,1,9
4557,2,1,9
4558,2,1,9
4559,2,1,11
4560,3,2,24
4561,4,1,4
4562,2,1,6
4563,4,1,10
4564,4,1,3
4565,1,1,5
4566,4,1,3
4567,2,1,13
4568,1,2,10
4569,4,1,5
4570,3,1,19
4571,1,1,4
4572,3,2,27
4573,2,1,9
4574,3,1,15
4575,3,1,7
4576,3,1,19
4577,1,1,4
4578,1,2,8
4579,3,1,18
4580,1,2,8
4581,3,2,22
4582,1,1,14
4583,4,1,12
4584,2,1,9
4585,1,1,6
4586,3,1,1
4587,2,2,19
4588,4,1,6
4589,3,1,10
4590,3,1,8
4591,1,1,10
4592,4,1,4
4593,1,1,3
4594,1,1,4
4595,1,1,7
4596,1,1,15
4597,3,1,20
4598,2,1,20
4599,3,1,26
4600,1,1,4
4601,3,2,18
4602,3,1,15
4603,1,1,21
4604,3,1,18
4605,3,1,7
4606,1,1,23
4607,3,1,14
4608,4,1,2
4609,3,2,22
4610,3,1,19
4611,3,2,12
4612,3,1,9
4613,4,2,9
4614,3,1,10
4615,1,1,3
4616,3,1,7
4617,2,1,4
4618,2,2,15
4619,1,1,13
4620,3,1,12
4621,3,1,11
4622,4,1,4
4623,3,1,12
4624,2,1,10
4625,4,2,12
4626,4,1,19
4627,2,2,15
4628,4,1,20
4629,4,2,8
4630,1,1,11
4631,3,1,18
4632,1,1,19
4633,1,1,2
4634,4,1,4
4635,4,2,9
4636,4,1,8
4637,3,1,13
4638,4,1,3
4639,4,1,7
4640,2,2,10
4641,4,1,18
4642,3,2,9
4643,2,1,2
4644,2,1,12
4645,2,2,12
4646,4,1,14
4647,4,1,2
4648,2,1,8
4649,2,1,5
4650,3,1,6
4651,4,1,10
4652,3,1,15
4653,4,1,24
4654,3,1,15
4655,3,1,1
4656,1,1,3
4657,3,1,18
4658,2,1,17
4659,2,1,7
4660,4,1,9
4661,3,1,23
4662,1,1,4
4663,2,1,9
4664,4,1,2
4665,3,1,6
4666,4,1,10
4667,2,1,5
4668,3,1,7
4669,4,1,11
4670,3,1,14
4671,3,1,11
4672,2,1,16
4673,3,1,4
4674,3,1,4
4675,3,1,9
4676,3,1,14
4677,4,1,14
4678,3,2,14
4679,2,1,11
4680,3,1,5
4681,2,1,14
4682,3,1,18
4683,1,1,3
4684,4,1,8
4685,3,1,2
4686,4,1,7
4687,3,1,4
4688,2,1,15
4689,1,1,24
4690,3,1,3
4691,3,1,10
4692,4,1,2
4693,3,1,20
4694,2,1,2
4695,1,1,15
4696,4,1,2
4697,3,1,22
4698,4,1,9
4699,3,1,11
4700,2,1,6
4701,3,1,2
4702,3,1,10
4703,1,1,3
4704,3,1,21
4705,1,1,10
4706,3,1,25
4707,3,1,13
4708,3,1,18
4709,4,1,5
4710,4,2,10
4711,3,1,68
4712,3,1,10
4713,4,1,11
4714,3,1,12
4715,4,1,3
4716,1,1,5
4717,3,1,11
4718,3,1,7
4719,3,1,13
4720,1,1,6
4721,3,2,27
4722,3,1,16
4723,4,1,7
4724,1,1,12
4725,3,1,10
4726,2,1,16
4727,2,1,32
4728,2,2,12
4729,4,1,5
4730,2,1,6
4731,2,1,16
4732,3,2,7
4733,4,1,9
4734,3,1,6
4735,1,1,3
4736,3,1,9
4737,3,1,15
4738,4,1,8
4739,4,1,7
4740,3,1,13
4741,4,1,7
4742,3,1,13
4743,4,1,4
4744,4,1,6
4745,2,2,19
4746,3,1,14
4747,2,1,3
4748,3,1,12
4749,2,1,10
4750,3,1,7
4751,2,1,7
4752,3,2,12
4753,2,2,9
4754,2,1,34
4755,4,2,6
4756,3,1,6
4757,4,1,5
4758,3,1,13
4759,3,2,22
4760,2,1,10
4761,4,1,14
4762,4,1,4
4763,1,1,3
4764,1,1,4
4765,4,1,22
4766,3,1,15
4767,4,1,14
